Arrondissement,Bedrooms,Bathrooms,Average Monthly Rent (€)
1st arrondissement,1.0,1.0,984.3
1st arrondissement,1.0,2.0,1134.3
1st arrondissement,1.0,3.0,1284.3
1st arrondissement,1.0,4.0,1434.3
1st arrondissement,1.0,5.0,1584.3
1st arrondissement,1.0,6.0,1734.3
1st arrondissement,1.0,7.0,1884.3
1st arrondissement,2.0,1.0,1640.5
1st arrondissement,2.0,2.0,1790.5
1st arrondissement,2.0,3.0,1940.5
1st arrondissement,2.0,4.0,2090.5
1st arrondissement,2.0,5.0,2240.5
1st arrondissement,2.0,6.0,2390.5
1st arrondissement,2.0,7.0,2540.5
1st arrondissement,3.0,1.0,2296.7
1st arrondissement,3.0,2.0,2446.7
1st arrondissement,3.0,3.0,2596.7
1st arrondissement,3.0,4.0,2746.7
1st arrondissement,3.0,5.0,2896.7
1st arrondissement,3.0,6.0,3046.7
1st arrondissement,3.0,7.0,3196.7
1st arrondissement,4.0,1.0,2952.9
1st arrondissement,4.0,2.0,3102.9
1st arrondissement,4.0,3.0,3252.9
1st arrondissement,4.0,4.0,3402.9
1st arrondissement,4.0,5.0,3552.9
1st arrondissement,4.0,6.0,3702.9
1st arrondissement,4.0,7.0,3852.9
1st arrondissement,5.0,1.0,3609.1
1st arrondissement,5.0,2.0,3759.1
1st arrondissement,5.0,3.0,3909.1
1st arrondissement,5.0,4.0,4059.1
1st arrondissement,5.0,5.0,4209.1
1st arrondissement,5.0,6.0,4359.1
1st arrondissement,5.0,7.0,4509.1
2nd arrondissement,1.0,1.0,1129.8
2nd arrondissement,1.0,2.0,1279.8
2nd arrondissement,1.0,3.0,1429.8
2nd arrondissement,1.0,4.0,1579.8
2nd arrondissement,1.0,5.0,1729.8
2nd arrondissement,1.0,6.0,1879.8
2nd arrondissement,1.0,7.0,2029.8
2nd arrondissement,2.0,1.0,1883.0
2nd arrondissement,2.0,2.0,2033.0
2nd arrondissement,2.0,3.0,2183.0
2nd arrondissement,2.0,4.0,2333.0
2nd arrondissement,2.0,5.0,2483.0
2nd arrondissement,2.0,6.0,2633.0
2nd arrondissement,2.0,7.0,2783.0
2nd arrondissement,3.0,1.0,2636.2
2nd arrondissement,3.0,2.0,2786.2
2nd arrondissement,3.0,3.0,2936.2
2nd arrondissement,3.0,4.0,3086.2
2nd arrondissement,3.0,5.0,3236.2
2nd arrondissement,3.0,6.0,3386.2
2nd arrondissement,3.0,7.0,3536.2
2nd arrondissement,4.0,1.0,3389.4
2nd arrondissement,4.0,2.0,3539.4
2nd arrondissement,4.0,3.0,3689.4
2nd arrondissement,4.0,4.0,3839.4
2nd arrondissement,4.0,5.0,3989.4
2nd arrondissement,4.0,6.0,4139.4
2nd arrondissement,4.0,7.0,4289.4
2nd arrondissement,5.0,1.0,4142.6
2nd arrondissement,5.0,2.0,4292.6
2nd arrondissement,5.0,3.0,4442.6
2nd arrondissement,5.0,4.0,4592.6
2nd arrondissement,5.0,5.0,4742.6
2nd arrondissement,5.0,6.0,4892.6
2nd arrondissement,5.0,7.0,5042.6
3rd arrondissement,1.0,1.0,1053.3
3rd arrondissement,1.0,2.0,1203.3
3rd arrondissement,1.0,3.0,1353.3
3rd arrondissement,1.0,4.0,1503.3
3rd arrondissement,1.0,5.0,1653.3
3rd arrondissement,1.0,6.0,1803.3
3rd arrondissement,1.0,7.0,1953.3
3rd arrondissement,2.0,1.0,1755.5
3rd arrondissement,2.0,2.0,1905.5
3rd arrondissement,2.0,3.0,2055.5
3rd arrondissement,2.0,4.0,2205.5
3rd arrondissement,2.0,5.0,2355.5
3rd arrondissement,2.0,6.0,2505.5
3rd arrondissement,2.0,7.0,2655.5
3rd arrondissement,3.0,1.0,2457.7
3rd arrondissement,3.0,2.0,2607.7
3rd arrondissement,3.0,3.0,2757.7
3rd arrondissement,3.0,4.0,2907.7
3rd arrondissement,3.0,5.0,3057.7
3rd arrondissement,3.0,6.0,3207.7
3rd arrondissement,3.0,7.0,3357.7
3rd arrondissement,4.0,1.0,3159.9
3rd arrondissement,4.0,2.0,3309.9
3rd arrondissement,4.0,3.0,3459.9
3rd arrondissement,4.0,4.0,3609.9
3rd arrondissement,4.0,5.0,3759.9
3rd arrondissement,4.0,6.0,3909.9
3rd arrondissement,4.0,7.0,4059.9
3rd arrondissement,5.0,1.0,3862.1
3rd arrondissement,5.0,2.0,4012.1
3rd arrondissement,5.0,3.0,4162.1
3rd arrondissement,5.0,4.0,4312.1
3rd arrondissement,5.0,5.0,4462.1
3rd arrondissement,5.0,6.0,4612.1
